Sample in Buffer,Sample in Window,TRIGGER,capture_addr[16:0],capture_data[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
454,454,0,0aa00,122
455,455,0,0aa00,122
456,456,0,0aa00,122
457,457,0,0aa00,122
458,458,0,0aa00,122
459,459,0,0aa00,122
460,460,0,0aa00,122
461,461,0,0aa00,122
462,462,0,0aa00,122
463,463,0,0aa00,122
464,464,0,0aa00,122
465,465,0,0aa00,122
466,466,0,0aa00,122
467,467,0,0aa00,122
468,468,0,0aa00,122
469,469,0,0aa00,122
470,470,0,0aa00,122
471,471,0,0aa00,122
472,472,0,0aa00,122
473,473,0,0aa00,122
474,474,0,0aa00,122
475,475,0,0aa00,122
476,476,0,0aa00,122
477,477,0,0aa00,122
478,478,0,0aa00,122
479,479,0,0aa00,122
480,480,0,0aa00,122
481,481,0,0aa00,122
482,482,0,0aa00,122
483,483,0,0aa00,122
484,484,0,0aa00,122
485,485,0,0aa00,122
486,486,0,0aa00,122
487,487,0,0aa00,122
488,488,0,0aa00,122
489,489,0,0aa00,122
490,490,0,0aa00,122
491,491,0,0aa00,122
492,492,0,0aa00,122
493,493,0,0aa00,122
494,494,0,0aa00,122
495,495,0,0aa00,122
496,496,0,0aa00,122
497,497,0,0aa00,122
498,498,0,0aa00,122
499,499,0,0aa00,122
500,500,0,0aa00,122
501,501,0,0aa00,122
502,502,0,0aa00,122
503,503,0,0aa00,122
504,504,0,0aa00,122
505,505,0,0aa00,122
506,506,0,0aa00,122
507,507,0,0aa00,122
508,508,0,0aa00,122
509,509,0,0aa00,122
510,510,0,0aa00,122
511,511,0,0aa00,122
512,512,1,0aa00,122
513,513,0,0aa00,122
514,514,0,0aa00,122
515,515,0,0aa00,122
516,516,0,0aa00,122
517,517,0,0aa00,122
518,518,0,0aa00,122
519,519,0,0aa00,122
520,520,0,0aa00,122
521,521,0,0aa00,122
522,522,0,0aa00,122
523,523,0,0aa00,122
524,524,0,0aa00,122
525,525,0,0aa00,122
526,526,0,0aa00,122
527,527,0,0aa00,122
528,528,0,0aa00,122
529,529,0,0aa00,122
